CVaR_Risk,Return,ESG_Score,Risk (Volatility),Prob_Sharpe
0.013134951853968038,0.15873787120194152,22.855209060492427,0.013134951853968038,12.084230588435878
0.039318927463499506,0.5105470093964273,79.93643227337303,0.039318927463499506,12.984434161796598
0.036887341973672605,0.5497846554746005,77.435269059608,0.036887341973672605,14.904021868670178
0.015411790084153023,0.20138943924589175,29.324011228979373,0.015411790084153023,13.06638435651923
0.03165472097737915,0.47073581834638517,67.20669890080649,0.03165472097737915,14.870481663733647
0.014201981627640447,0.18242320990238822,26.908575844691022,0.014201981627640447,12.844008017821702
0.02568960598978761,0.39068122387368764,55.440308270080685,0.02568960598978761,15.207162650386257
0.020004749643578998,0.2810967911680319,42.20059022339079,0.020004749643578998,14.050800203743032
0.03906648141931934,0.5086805903549206,79.72724923136504,0.03906648141931934,13.020562674495109
0.013152394332287428,0.16526427467165586,24.186165070455957,0.013152394332287428,12.564382280092088
0.024745988010995642,0.3721780107226702,49.66744221068366,0.024745988010995642,15.039325616406455
0.03551781500985646,0.5305235081658031,75.49598599362301,0.03551781500985646,14.936407873364665
0.015990616666820154,0.2156889542008363,31.995755393934424,0.015990616666820154,13.48762659177253
0.03694153820256542,0.5213774118117651,79.57716865671921,0.03694153820256542,14.113199503318341
0.01764088549162392,0.24358818214248706,36.06404845788964,0.01764088549162392,13.807378029867541
0.03548656974699442,0.48643777417921524,74.99652905144592,0.03548656974699442,13.707272085612837
0.03490296641585493,0.5252127347769724,73.29525901610138,0.03490296641585493,15.047365348667007
0.03190279273651114,0.49665973489237986,69.49277095237225,0.03190279273651114,15.567419804730475
0.014862451865746907,0.18945447353305314,27.546293054065867,0.014862451865746907,12.746330747681458
0.014976157690267035,0.20013388739240134,28.84058529034244,0.014976157690267035,13.362608014901195
0.027421173441271644,0.41451985080290626,58.76359838904237,0.027421173441271644,15.11622890470945
0.0361313676485909,0.5126156894575907,78.0337956976375,0.0361313676485909,14.187160233812738
0.014050166313755483,0.17428158580201067,24.94252080239974,0.014050166313755483,12.403353708182683
0.019078248078772998,0.26881889725867414,37.71856193785875,0.019078248078772998,14.089595991875278
0.016169657120379745,0.22269587860020204,31.37775794357925,0.016169657120379745,13.771603524976129
0.027808829739774284,0.42096599380768773,59.60407093713991,0.027808829739774284,15.137309280452447
0.017217089194444084,0.2292608485641676,34.05108380675179,0.017217089194444084,13.315115630725462
0.018031428614417085,0.2476159535902435,34.97331326088032,0.018031428614417085,13.731702971627035
0.033873227402687986,0.5020842121595761,71.89175380445023,0.033873227402687986,14.82201220978208
0.01399413075906579,0.17098592967575646,24.73766751898644,0.01399413075906579,12.217529983776314
0.021253519120991944,0.30872944984063383,40.99566574866216,0.021253519120991944,14.525355670630928
0.03439620245366811,0.5173699338869195,72.72163146691432,0.03439620245366811,15.04104685791816
0.01975826606319544,0.2655378698052754,39.20736884280993,0.01975826606319544,13.438650451692586
0.03647045056671329,0.5437131104504596,77.51674156468248,0.03647045056671329,14.907910214755615
0.02059113371914052,0.29304270376043023,40.70171967277369,0.02059113371914052,14.230808121066403
0.031135877409072782,0.44640615951932006,66.056610838955,0.031135877409072782,14.336895561314202
0.03356869903406256,0.4898311707221563,70.94783290258178,0.03356869903406256,14.59146744881846
0.016764889899433956,0.23475464512470423,32.669416501180336,0.016764889899433956,14.001919762853143
0.01682294900642882,0.22425820612814842,33.05039032567791,0.01682294900642882,13.329700776105192
0.018419917045164123,0.24980049410986727,36.48759677675972,0.018419917045164123,13.560698063913442
0.028210584406642418,0.42432824118042395,60.075464354677294,0.028210584406642418,15.040922022107905
0.03571308364314564,0.5438415226163656,76.76853262003831,0.03571308364314564,15.22764879117209
0.030285131875924288,0.4536042717876459,63.78014223426496,0.030285131875924288,14.977293027910074
0.02294055634492951,0.3266845422803692,48.78346319889925,0.02294055634492951,14.23985964023632
0.021626243341117308,0.2977278618711948,45.875442202143006,0.021626243341117308,13.766334302308431
0.026056119008324698,0.3969361809996058,55.99340450780204,0.026056119008324698,15.233310362238937
0.029218728834621132,0.4378036415971232,62.004127107647165,0.029218728834621132,14.983152105039029
0.025097972295281525,0.363080972642827,52.79461995933019,0.025097972295281525,14.465969696738712
0.016325266591435267,0.21852880548635123,32.176536623916796,0.016325266591435267,13.38510579026016
0.03258579523011192,0.4978184353286653,70.13362251234263,0.03258579523011192,15.276692040850175
0.03299172993057498,0.5092718641705831,70.35963599563712,0.03299172993057498,15.435881336349537
0.020163229066440955,0.28835048317207373,38.30028194301555,0.020163229066440955,14.30009955857779
0.02540833515985548,0.35337768140939124,54.14054764694424,0.02540833515985548,13.907395812846648
0.029668578714621772,0.4434398876615296,63.215919079442,0.029668578714621772,14.945944865843119
0.026766641499737884,0.4032511134261062,57.30891927567197,0.026766641499737884,15.064872765501397
0.022308687360169766,0.30214085656761325,45.10945204611265,0.022308687360169766,13.543034095001952
0.03344598696100501,0.5084637402127699,70.92706431188272,0.03344598696100501,15.20207906337198
0.032054124878346635,0.49841390351748455,69.71631669549147,0.032054124878346635,15.548649565678813
0.018705336344358444,0.2614187175027415,37.411015543270466,0.018705336344358444,13.97487528773006
0.017382939259472846,0.23420831067127568,34.5317317689597,0.017382939259472846,13.472683445074223
0.031338327200619055,0.46491183922729956,65.47971069061326,0.031338327200619055,14.834774092346054
0.020895396406452316,0.2934888217235726,43.9675003187304,0.020895396406452316,14.044948995748863
0.03064595134353381,0.4596356873864995,65.06939676299149,0.03064595134353381,14.99776216675718
0.019277786661290645,0.2584379391868556,38.71540802728396,0.019277786661290645,13.405301055888861
