Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2020-01-01,205.7945098876953,361.0625915527344,1403.1068115234375,1705.4154052734375,745.5869140625,2599.7275390625,935.2149658203125,413.5321350097656,433.31646728515625,157.6500701904297,2715.622314453125,449.42022705078125,116.76142883300781,1751.28564453125,554.4883422851562,2088.218994140625,716.8876953125,450.6942138671875,595.67724609375,609.907958984375,1934.7008056640625,205.76014709472656,1749.9315185546875,519.1380004882812,1433.3946533203125,619.7402954101562,168.79664611816406,251.1307830810547,333.4170837402344,1180.6746826171875,509.72796630859375,6945.33544921875,690.5807495117188,94.73125457763672,85.37138366699219,76.68421936035156,672.2161254882812,964.6342163085938,303.1384582519531,201.81683349609375,406.0740051269531,306.71435546875,38.45708084106445,1841.1497802734375,602.6174926757812,1132.704833984375,3942.765625,113.70916748046875
2020-01-02,209.11135864257812,366.32098388671875,1470.2939453125,1702.990234375,753.8026123046875,2575.7119140625,947.8943481445312,414.9737243652344,435.1326904296875,156.3354034423828,2727.906494140625,447.1537780761719,116.29317474365234,1758.07373046875,551.696044921875,2043.2923583984375,739.9149780273438,451.9549560546875,599.4741821289062,622.4701538085938,1932.2352294921875,211.3770294189453,1751.2867431640625,522.861572265625,1476.5616455078125,617.9320678710938,170.0372314453125,258.9523010253906,332.9191589355469,1212.5361328125,512.8151245117188,6962.5751953125,688.2584838867188,94.61434173583984,85.77328491210938,76.52730560302734,683.6602172851562,957.6691284179688,307.5343933105469,204.99656677246094,406.6817626953125,306.2408142089844,39.86299133300781,1832.69775390625,605.7408447265625,1133.53857421875,4117.15869140625,113.984619140625
2020-01-03,206.2400665283203,365.6995849609375,1461.8834228515625,1665.6617431640625,739.86083984375,2535.314208984375,931.9641723632812,409.8330078125,435.037109375,155.03672790527344,2714.86328125,443.80133056640625,116.70635223388672,1766.6429443359375,555.35498046875,2004.357666015625,730.5496826171875,461.0168762207031,590.9252319335938,618.9861450195312,1934.5418701171875,207.824462890625,1741.708251953125,521.1690063476562,1476.4166259765625,627.43603515625,169.08021545410156,255.20550537109375,330.04119873046875,1203.2977294921875,506.0707702636719,6890.763671875,681.9151611328125,93.01667022705078,86.04122924804688,75.70360565185547,684.4840698242188,963.349853515625,302.4587097167969,204.89942932128906,415.7046203613281,301.36334228515625,39.7684440612793,1869.2220458984375,612.8970336914062,1117.9420166015625,4092.328857421875,115.2699966430664
2020-01-06,197.5765838623047,363.5006103515625,1438.6678466796875,1623.5780029296875,720.24267578125,2506.92431640625,901.734130859375,390.6043395996094,429.827392578125,150.4353485107422,2699.8984375,440.77935791015625,113.31836700439453,1770.0611572265625,554.3824462890625,1973.2552490234375,711.577392578125,458.6135559082031,578.13671875,608.0431518554688,1883.48095703125,200.95941162109375,1730.8646240234375,508.4505615234375,1419.005615234375,621.4224243164062,166.66983032226562,247.5244903564453,329.13494873046875,1186.8035888671875,498.2339172363281,6689.52880859375,673.64697265625,92.66595458984375,84.56758117675781,75.74282836914062,668.6093139648438,971.25341796875,289.13494873046875,197.3386688232422,411.3567810058594,295.5860900878906,38.909278869628906,1869.0521240234375,609.1806030273438,1136.4814453125,4032.09619140625,115.75200653076172
2020-01-07,202.0320587158203,367.89849853515625,1454.604248046875,1639.983642578125,722.7322998046875,2507.171875,907.0142211914062,391.6744689941406,425.4779968261719,147.822021484375,2712.897705078125,442.5264892578125,113.31836700439453,1775.405029296875,555.4127197265625,1967.896728515625,716.6946411132812,460.3865661621094,587.2913208007812,618.2500610351562,1867.49462890625,200.52735900878906,1735.608642578125,505.74237060546875,1411.521484375,612.2127685546875,166.84706115722656,248.46119689941406,332.77978515625,1190.183349609375,500.2762145996094,6719.166015625,667.763916015625,93.9518814086914,84.23265075683594,75.19367218017578,678.8955688476562,973.03173828125,288.591064453125,198.6017303466797,417.3876037597656,298.2379455566406,39.14359664916992,1873.6390380859375,614.478515625,1137.805419921875,4114.5400390625,117.15213775634766
2020-01-08,199.5072784423828,368.7112121582031,1449.6361083984375,1644.1680908203125,721.4874877929688,2524.75048828125,911.9853515625,395.80853271484375,438.621826171875,147.46926879882812,2701.283203125,438.89068603515625,110.28845977783203,1765.8245849609375,557.9257202148438,1881.66552734375,717.0325927734375,461.5686950683594,585.7539672851562,617.1704711914062,1843.23681640625,199.13511657714844,1743.4251708984375,508.6922302246094,1408.5760498046875,604.054443359375,166.0318145751953,245.88523864746094,329.5930480957031,1164.0904541015625,498.3764953613281,6682.68896484375,672.460205078125,93.48426818847656,82.69200134277344,74.74259185791016,673.7970581054688,975.847412109375,289.8599853515625,199.6704864501953,411.4970397949219,299.5164794921875,39.07371520996094,1915.5994873046875,608.7061767578125,1121.4735107421875,4189.07958984375,116.96851348876953
2020-01-09,205.94302368164062,374.5910949707031,1455.4892578125,1685.7764892578125,739.7611694335938,2546.578857421875,936.8903198242188,403.0650939941406,439.81671142578125,150.88426208496094,2681.18212890625,443.9429626464844,109.0765151977539,1774.923583984375,562.4029541015625,1922.9744873046875,731.1771850585938,457.27392578125,592.3228759765625,619.771240234375,1872.6644287109375,202.35162353515625,1748.575927734375,528.3745727539062,1455.9437255859375,611.9183349609375,167.1660919189453,260.4978942871094,331.62457275390625,1186.2626953125,514.1450805664062,6865.73388671875,684.24462890625,93.01667022705078,82.85948181152344,75.68399047851562,689.3153686523438,976.58837890625,299.2864074707031,202.63824462890625,411.26336669921875,311.1656494140625,39.723228454589844,1880.8587646484375,611.75048828125,1141.238525390625,4256.052734375,116.44058227539062
2020-01-10,207.03213500976562,374.830078125,1461.6865234375,1704.79736328125,736.972900390625,2559.37109375,934.5966186523438,405.083251953125,436.8533935546875,150.78805541992188,2671.04150390625,447.1537780761719,113.09800720214844,1796.9727783203125,564.8101196289062,1932.798095703125,730.163330078125,457.3133850097656,597.5873413085938,611.5272216796875,1879.74267578125,203.07171630859375,1765.6998291015625,522.5231323242188,1440.106201171875,620.8336791992188,168.7257537841797,260.3105163574219,335.5381774902344,1193.8787841796875,519.2271118164062,6963.1923828125,686.2257690429688,93.75706481933594,83.1609115600586,75.37020111083984,689.1595458984375,977.0823974609375,301.1444396972656,199.76766967773438,414.76959228515625,323.28839111328125,39.9739875793457,1880.1796875,613.806396484375,1132.018310546875,4310.951171875,115.56837463378906
2020-01-13,211.48765563964844,373.2048034667969,1459.2764892578125,1716.542724609375,734.333984375,2553.47021484375,942.8734741210938,407.003662109375,448.2287292480469,150.9484100341797,2720.491455078125,451.0729064941406,116.54106903076172,1809.056640625,568.9889526367188,1918.3487548828125,733.3978271484375,462.15966796875,599.1246948242188,613.7845458984375,1882.3670654296875,202.78369140625,1802.6131591796875,520.9271850585938,1486.8463134765625,650.6074829101562,169.61192321777344,260.96624755859375,336.8128662109375,1202.982177734375,527.1589965820312,6984.2802734375,684.9361572265625,94.88711547851562,84.03170776367188,76.40963745117188,687.4006958007812,977.9220581054688,299.7848815917969,206.34800720214844,415.7046203613281,334.2746276855469,40.75916290283203,1860.4737548828125,621.3973999023438,1136.8245849609375,4334.326171875,116.96851348876953
2020-01-14,212.23020935058594,372.10528564453125,1468.966064453125,1730.0953369140625,744.790283203125,2559.701171875,952.8054809570312,409.7890625,448.6589050292969,151.78211975097656,2774.139892578125,457.3056945800781,117.31232452392578,1804.0498046875,567.6602172851562,1938.18505859375,733.6875,468.30584716796875,600.75537109375,602.8416137695312,1917.8797607421875,203.50379943847656,1815.2188720703125,519.9600219726562,1430.8353271484375,652.373779296875,172.4476318359375,263.1206359863281,333.9647521972656,1195.2305908203125,534.3309326171875,7016.671875,694.76513671875,96.25100708007812,83.76375579833984,76.5861587524414,681.0330200195312,975.8968505859375,297.2923278808594,200.04147338867188,417.01361083984375,368.98541259765625,40.99348068237305,1874.530517578125,629.6209716796875,1144.81884765625,4348.4873046875,118.07025146484375
