CVaR_Risk,Return,ESG_Score,Prob_Score,Prob_Sharpe
0.01751657779236166,0.09117604412568389,31.399168849457517,0.0,5.2048316957062495
0.046614038159476456,0.29272031846152674,74.06341756124624,0.0,6.279525449707673
0.039738094029075764,0.18686453157443067,78.69604280827863,0.0,4.70228464286851
0.01764424104077052,0.09611813229740673,31.84832423466345,0.0,5.447255272700401
0.044868986294092174,0.28245412423191724,71.42430333126369,0.0,6.29494563204506
0.04535496191625016,0.2605192004919094,76.15981457558895,0.0,5.743879955031236
0.04444637332890838,0.2707198102930863,73.59662271720784,0.0,6.090794348853261
0.04392516409482757,0.27652296142118193,70.43262425581283,0.0,6.295176624670108
0.023654108888804263,0.1314684242570258,42.930796676797584,0.0,5.557717991281305
0.029353927034169194,0.1660276420708416,56.802342053400395,0.0,5.655869690208567
0.018616789677242937,0.0995709262149126,32.82504782655054,0.0,5.348160439078384
0.025933894080965695,0.15076774002544532,49.433720680671634,0.0,5.813316204599338
0.03864506133738626,0.23786673620745155,60.75526515489117,0.0,6.155005917183568
0.04219620706778276,0.24625207754365566,74.98670170565961,0.0,5.835743516107425
0.02720790827174219,0.1579604648673752,51.88844905095949,0.0,5.8054686828954845
0.042464445677733914,0.24154507260210134,77.34056237531242,0.0,5.68803809184444
0.030778183585446355,0.18437493319567078,60.36158100876623,0.0,5.990247684244968
0.04029827192530444,0.24362964719601443,75.70667554674468,0.0,6.045509895255358
0.03425136926444284,0.21050021889048515,55.68134105538261,0.0,6.145566669135616
0.020029053558635122,0.1098163210591904,35.14264607362383,0.0,5.482577504734013
0.019354566018776803,0.10735554044992528,32.98197305531204,0.0,5.546494499090331
0.03368123952247045,0.20329506673528813,54.162013443066755,0.0,6.035675466284354
0.04194029989747529,0.2355488368187158,76.73593639444076,0.0,5.616154897309107
0.028847339181101755,0.16805068166456769,53.81606891631186,0.0,5.825315648488212
0.024076566141072116,0.13381920223068022,46.74776096853415,0.0,5.557837592330732
0.02415847179858894,0.14041507142133505,44.52022697545832,0.0,5.812009161124795
0.026271790315586557,0.15271605607373875,41.60426920752494,0.0,5.812707909564469
0.03309271171717129,0.19737495135534674,62.3698989254788,0.0,5.964122520984404
0.04297664454396096,0.25854308362030676,75.49943928449846,0.0,6.015757409781922
0.035655149614951316,0.21768368946001776,62.80246970991577,0.0,6.105081221914627
0.03145974920459316,0.18759909502218453,56.91282156431606,0.0,5.962957010406978
0.04068265793094803,0.2510709671511273,72.95857416064949,0.0,6.171297762292357
0.03939848795799067,0.18474493303882195,78.26233445917508,0.0,4.689018629780278
0.03624329594424181,0.21260852850877804,65.16688696487441,0.0,5.865985887430529
0.028520031406620905,0.1720076333928044,50.123986846182945,0.0,6.030905086864227
0.018995198492872643,0.10234045010176829,33.654525492916086,0.0,5.387417389861784
0.02041154748515358,0.10960118535759432,38.31668906680921,0.0,5.3693046121415895
0.027382737610342517,0.14959564671696032,52.99146260129185,0.0,5.462937486680408
0.028241717327578783,0.16927794488449321,48.425481688562165,0.0,5.993684776188114
0.04495418440671447,0.2551549960977885,75.59968669164101,0.0,5.675763529059815
0.04039161370835255,0.19988782960750792,77.35726163292642,0.0,4.948623306497601
0.02087172576183841,0.10394648133166735,39.15747158115446,0.0,4.980014709995981
0.02551839480269493,0.14693185504134043,45.169583038664406,0.0,5.757654371404762
0.02959077078877734,0.1764749590271991,57.47592891453959,0.0,5.963649836532496
0.02479407362839967,0.14476255943314087,45.582997858237256,0.0,5.838359732367699
0.038399759518509755,0.2088905236933769,74.48603745509457,0.0,5.439749794341658
0.04347909578183561,0.26659538626731477,73.85692731433919,0.0,6.131435119300923
0.03706241169704712,0.21975529839579963,69.28055799816214,0.0,5.929170800358559
0.02155328162576826,0.11905288156742817,39.918632365651966,0.0,5.523398257221424
0.023329670026236628,0.13757463287619998,37.05174490281578,0.0,5.896728757532025
0.02122155419246249,0.11685490885825903,39.284763558728905,0.0,5.506166119239398
0.022373564439035903,0.12663838539041422,42.1391279311024,0.0,5.65992628529
0.025734111698735646,0.146039919748765,47.7175112770004,0.0,5.674734248615672
0.02498351395838214,0.1412698457366563,46.11637557153078,0.0,5.654296336201537
0.025202417513723024,0.14279696239566125,46.44126723265829,0.0,5.665777758826145
0.043214713345857955,0.2482012367910324,76.86103923932727,0.0,5.743309957761497
0.03880067534604665,0.22786714408049014,71.53360283677615,0.0,5.8726109645599776
0.03931617597883822,0.2307375930890303,72.56585369894799,0.0,5.868620706970937
0.03152114382557156,0.1890395655329587,61.80833439711109,0.0,5.997040257763339
0.027252025165873717,0.1687523127076357,44.28629283757489,0.0,6.192058007525256
0.03029052834496118,0.17505040042147613,58.36372043064075,0.0,5.778856663420707
0.019802424762221018,0.09928371873785635,36.214161036692325,0.0,5.0134620617369094
0.030292032626252276,0.17865409995191714,58.00595574027967,0.0,5.897531031511633
0.03782173876433801,0.22550346405111765,68.6215927013597,0.0,5.962113570256274
0.020260982964953943,0.11271339386447202,36.12858346449296,0.0,5.562801728706725
0.03637209075073254,0.22161450236597202,68.2645710648343,0.0,6.092814709773014
0.024683393228408967,0.1365160740300935,46.41219782444985,0.0,5.530460998854078
0.027840661842289654,0.16480569598727388,47.9738102738176,0.0,5.919391483196051
0.030725133830813052,0.1815336696173995,59.16999980030236,0.0,5.908119473051058
0.02269393475041056,0.1332263515260204,35.98869339821442,0.0,5.870312163977923
0.034630867967475665,0.20665570265192437,63.46530165022397,0.0,5.967212130919533
0.042834228454253186,0.2626562752394407,70.8080568232718,0.0,6.131781823457535
